system,mean_rt,mean_active_servers,mean_dimmer,max_rt,min_rt
baseline,6.411428571428574,2.3333333333333335,0.8999999999999998,8.13,0.03
j0,4.960909090909091,4.7727272727272725,3.486363636363636,8.3,0.02
j1,3.1171428571428574,9.857142857142858,0.8999999999999998,5.75,0.02
j2,3.3854545454545457,9.181818181818182,0.8999999999999997,5.99,0.02
j3,3.4076190476190478,9.857142857142858,0.8999999999999998,6.08,0.02
j4,3.691904761904762,9.380952380952381,0.8999999999999998,6.31,0.02
j5,0.883809523809524,8.904761904761905,0.2142857142857142,5.44,0.02
