system,mean_rt,mean_active_servers,mean_dimmer,max_rt,min_rt
baseline,6.493809523809524,2.3333333333333335,0.8999999999999998,8.29,0.03
j0,5.826666666666668,5.571428571428571,0.9761904761904762,6.52,0.02
j1,4.630769230769231,8.807692307692308,0.8999999999999999,6.88,0.02
j2,3.4785714285714286,9.857142857142858,0.8999999999999998,5.9,0.02
j3,3.4591304347826086,9.652173913043478,0.8999999999999997,6.0,0.02
j4,3.9104545454545447,9.863636363636363,0.8999999999999997,6.51,0.02
j5,3.94047619047619,9.047619047619047,0.8999999999999998,6.55,0.02
