system,mean_rt,mean_active_servers,mean_dimmer,max_rt,min_rt
baseline,6.293333333333333,2.3333333333333335,0.8999999999999998,7.93,0.03
j0,3.86047619047619,7.476190476190476,0.8999999999999998,6.05,0.02
j1,3.6186956521739133,9.565217391304348,0.8999999999999997,6.02,0.02
j2,5.553333333333335,2.3333333333333335,0.9857142857142857,5.98,0.02
j3,5.098095238095238,5.857142857142857,0.8999999999999998,7.69,0.02
j4,4.970434782608695,8.608695652173912,0.8999999999999997,7.52,0.02
j5,3.825714285714286,9.761904761904763,0.7666666666666666,6.54,0.02
